"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",17.15,10.44583333,5.558333333,7.020833333,4.475,30.375,33.4125,9.504166667,9.5,19.10416667,11.46666667,14.33333333,12.49166667,25.02916667,19.52916667,11.6875,11.50833333,5.458333333,14.94583333,21.51666667,18.67083333,16.96666667,41.1875,45.69166667,22.10833333,13.5,15.0875,39.1875,32.63333333,24.03181818,18.60416667,5.845833333,14.0375,6.3,4.254166667,8.766666667,10.9875,23.30833333
"2",15.19583333,15.64583333,7.55,11.0125,11.2375,15.9625,31.95833333,12.19583333,4.458333333,18.92916667,8.454166667,11.075,14.25416667,11.77083333,14.5625,11.49166667,18.21666667,11.82083333,14.32916667,23.98333333,20.275,21.05416667,36.56666667,33.37083333,26.77083333,5.908333333,8.6,44.77083333,20.55,21.825,15.8875,10.83333333,13.08333333,10.15,7.7875,9.325,14.66666667,21.7375
"3",11.94166667,12.89583333,6.95,10.56666667,17.75,20.36666667,16.825,13.42083333,5.058333333,15.62916667,16.46666667,16.2875,17.6,14.12083333,13.43333333,14.23333333,13.5125,15.425,13.00416667,15.14583333,15.6875,12.69583333,27.50416667,27.95416667,13.17916667,8.275,11.51578947,27.6375,20.99166667,18.95416667,15.8625,7.345833333,12.81666667,14.74583333,6.591666667,9.420833333,16.02916667,21.59166667
"4",10.10833333,21.80416667,15.70833333,17.74166667,27.92857143,15.72777778,14.95,19.04166667,7.075,22.8,18.86666667,11.925,9.85,23.47916667,22.79583333,24.70416667,21.62083333,21.70416667,14.67083333,21.875,23.95833333,21.36666667,28.03333333,26.89166667,24.25,6.983333333,15.77083333,16.825,27.575,23.40833333,23.9625,5.025,16.74166667,16.98333333,7.808333333,16.64166667,17.425,24.675
"5",11.18333333,21.14166667,18.95,18.47083333,16.125,24.4625,17.32916667,19.74583333,12.12083333,23.375,18.58333333,15.53333333,14.54166667,20.2375,19.57083333,18.39583333,27.54166667,26.10416667,11.475,17.34583333,20.49583333,16.93333333,22.7375,21.60416667,21.84583333,8.3625,11.85909091,20.15416667,25.27083333,21.94166667,21.73333333,15.35833333,21.75833333,12.7125,6.970833333,8.583333333,22.72083333,21.83333333
"6",11.25416667,18.75416667,10.30416667,13.35416667,25.75909091,27.02916667,25.76666667,21.85,13.68333333,36.27083333,13.15833333,14.7375,14.78333333,28.66666667,25.1125,25.34583333,23.1375,25.87916667,12.51904762,33.35416667,30.19166667,34.025,38.52083333,40.8625,40.39583333,13.60833333,22.2,26.40833333,21.65416667,15.7625,19.16666667,11.575,25.02083333,18.69583333,9.033333333,13.45833333,26.69166667,41.04166667
"7",13.57083333,25.72916667,16.88333333,23.50416667,53.64583333,11.94583333,17.925,30.875,13.125,47.05416667,9.533333333,12.45416667,18.34166667,47.7125,41.225,39.40416667,31.50416667,26.9125,14.92083333,36.325,30.74583333,33.1375,49.87916667,54.7,43.92083333,22.44166667,38.70416667,24.6375,23.85416667,16.79583333,25.28333333,18.58333333,23.79166667,19.4625,11.20416667,10.575,25.02608696,44.82083333
"8",10.85416667,22.5125,16.09565217,23.55,57.65,14.98333333,18.54583333,18.30833333,11.0375,26.87916667,10.85833333,14.08333333,19.42083333,67.6625,55.3625,38.56666667,35.6125,19.71666667,12.99166667,36.9625,32.15833333,35.75,53.74166667,54.84166667,37.225,20.21666667,33.06363636,18.71666667,26.50416667,20.37916667,15.52916667,20.47083333,26.125,16.54583333,10.82916667,12.44166667,17.01666667,41.61666667
"9",12.37916667,22.00416667,15.3125,19.80833333,25.775,23.70416667,25.6,16.98333333,10.22916667,17.99166667,19.26086957,22.0125,24.59166667,59.73333333,54.47083333,39.34583333,40.59166667,18.81666667,16.0875,16.88333333,17.67083333,16.33333333,24.11666667,22.94583333,17.56666667,38.3375,27.67727273,37.9125,23.59166667,19.85217391,18.4625,17.375,22.95833333,9.154166667,10.70416667,12.49583333,14.95416667,21.03333333
"10",15.24166667,22.5125,16.3375,19.28333333,30.47916667,17.64583333,33.22916667,12.8125,12.71666667,15.95,19.4,24.40833333,19.5375,23.94583333,24.675,19.625,34.5,14.21666667,21.22916667,17.1,15.82916667,18.25833333,22.8,24.94166667,30.62916667,13.32083333,14.705,39.90416667,17.6,15.13333333,15.99166667,19.94583333,30.17916667,18.74583333,14.84166667,11.08333333,12.72916667,21.65
"11",19.56666667,23.27083333,17.72083333,21.63333333,39.8,20.30833333,15.00833333,20.40833333,16.87916667,29.8875,10.03333333,9.433333333,9.520833333,22.18333333,23.63333333,18.83333333,22.75416667,20.0125,29.1125,29.47083333,31.65,35.00416667,45.675,43.4875,26.36666667,25.69583333,37.75652174,18.4875,27.8875,28.54347826,30.07083333,30.1125,36.73333333,22.09130435,15.71666667,14.86666667,28.15,33.94583333
"12",7.8,20.3875,9.754166667,12.45833333,30.4625,9.270833333,5.743478261,14.66666667,22.4,30.91666667,10.27916667,12.3875,16.41666667,21.4375,18.475,15.2625,20.1625,30.27083333,7.166666667,7.066666667,7.483333333,11.41666667,13.55833333,9.345833333,10.09166667,36.9375,57.08947368,7.175,11.27083333,12.7875,14.7875,24.7875,41.1625,11.79166667,9.730434783,12.125,14.35416667,10.11666667
