"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68"
"1",20.0625,18.2875,5.041666667,11.275,29.34583333,24.54166667,50.97083333,33.73333333,26.12916667,31.75833333,29.125,30.32083333,24.14166667,9.308333333,13.7875,11.34166667,27.0875,34.33333333,16.76666667,21.50833333,28.09583333,25.025,22.825,19.92083333,11.36666667,16.84583333,17.69166667,22.99166667,12.43333333,37.88333333,15.89166667,12.69166667,7.65,10.0875,10.90833333,8.720833333,26.55217391,50.30833333,48.94166667,7.9,19.95,8.7125,8.083333333,22.15416667,16.92083333,2.829166667,7.475,10.91666667,11.3375,25.53333333,10.6875,10.9375,11.3875,13.4875,41.24166667,30.725,19.65,27.4625,11.47083333,6.1125,19.71818182,25.38695652,14.92916667,8.920833333,36.59166667,9.016666667,8.116666667,13.17916667
"2",16.6625,16.45,12.59583333,4.041666667,45.95833333,47.2875,39.9125,60.5625,49.85833333,25.875,49.17083333,18.35,33.47916667,11.69583333,8.366666667,7.9375,19.02916667,34.77916667,17.27916667,33.15416667,17.84166667,17.30416667,25.00833333,22.27916667,16.14583333,16.66666667,18.98333333,23.70869565,18.84583333,32.83333333,8.554166667,17.85416667,11.21666667,14.69166667,11.67916667,11.375,27.04347826,45.5625,50.58333333,15.09583333,29.84166667,14.0875,14.87916667,20.41666667,22.22083333,11.65909091,12,12.85416667,11.52916667,26.3,11.85416667,9.104166667,12.62916667,14.93333333,27.59583333,25.68333333,16.04583333,31.5625,11.9,13.22916667,18.02173913,18.30416667,16.92916667,7.483333333,46.6125,5.55,11.625,16.05833333
"3",11.89583333,27.04166667,9.95,4.725,37.84583333,33.15833333,35.3125,39.42916667,34.0875,28.225,44.00833333,25.125,30.5875,11.53333333,7.2,7.308333333,19.59166667,41.57083333,13.5625,23.96666667,24.85833333,17.50416667,26.52916667,23.95416667,13.59583333,14.025,19.47083333,25.04583333,20.35,14.95833333,9.491666667,21.0125,16.61666667,13.50833333,18.9125,14.64166667,18.83913043,26.27826087,30.125,16.6125,30.59583333,13.4375,13.0125,9.0375,8.45,3.345833333,13.9,9.966666667,10.19166667,11.52916667,14.67826087,10.4,16.13333333,10.32916667,31.4625,24.0125,25.5375,30.41666667,21.70416667,10.26666667,20.00869565,16.925,13.24166667,9.754166667,17.34583333,10.3375,18.675,18.05
"4",13.9,28.2625,18.175,16.55833333,25.05833333,24.59583333,24.85833333,28.03333333,24.51666667,18.09583333,33.27916667,21.8125,14.4625,17.49166667,11.125,17.55833333,28.15833333,37.49583333,9.9375,11.43333333,42.0875,35.49583333,20.2125,19.8125,24.2125,23.6125,29.30416667,40.93181818,30.87083333,17.37083333,11.225,32.46666667,23.05,23.2625,15.73333333,15.7,13.29583333,16.71304348,22.60833333,22.69583333,15.84166667,23.275,15.99166667,18.1625,17.575,3.152173913,12.78181818,15.6625,9.016666667,26.40833333,19.4375,10.4375,17.49583333,14.94583333,23.79583333,18.47083333,20.1875,20.43333333,20.1625,19.5625,17.7,17.51666667,19.25833333,8.191666667,8.8,23.31666667,19.76666667,19.93333333
"5",18.64583333,31.35416667,16.1125,29.675,31.67916667,34.29583333,29.8875,32.70833333,28.775,25.82083333,39.91666667,26.47916667,21.88333333,17.43333333,19.52727273,20.89583333,24.1,30.63333333,14.91666667,16.7625,26.25416667,36.54166667,27.1875,22.0625,31.49583333,30.63157895,21.57916667,33.70833333,31.27916667,18,10.1875,41.84583333,35.79583333,28.195,16.4375,21.44166667,20.20833333,19.27916667,25.29583333,27.075,19.99166667,21.54166667,17.8375,23.91666667,24.325,10.6375,13.425,31.34583333,22.89166667,34.9,24.175,19.575,25.42916667,20.42083333,22.79166667,17.9625,19.40833333,22.10833333,13.91666667,21.825,17.19545455,18.47083333,13.8,2.4125,17.03333333,22.21666667,25.7375,21.6952381
"6",13.31666667,28.85,28.85416667,30.38333333,32.975,30.30833333,31.74583333,32.49583333,28.47916667,29.32916667,35.3125,35.9,22.535,24.325,28.30416667,18.775,33.125,44.03636364,16.99166667,23.85,35.62916667,48.85833333,26.28333333,21.01666667,29.57916667,31.62916667,16.8,21.175,24.62916667,37.5875,18.70416667,46.4375,36.82083333,27.85,18.76363636,19.8625,32.05833333,33.39166667,40.62083333,30.05416667,27.3125,26.4875,20.7375,37.69166667,37.74166667,18.42083333,23.52083333,34.22083333,18.21,37.40416667,22.8,13.26666667,26.82916667,27.59583333,32.84166667,23.66666667,24.35,31.1375,19.125,25.31666667,18.90416667,15.80833333,21.32083333,8.554166667,28.25833333,24.89166667,20.62173913,25.85
"7",14.18333333,75.06666667,41.7375,57.05833333,27.3,29.52083333,32.19166667,31.65,31.275,28.85,23.85833333,19.60833333,20.83333333,30.14583333,31.00833333,19.2875,36.67083333,46.62083333,11.12916667,15.98333333,52.5625,51.60869565,22.82916667,22.575,20.35416667,22.92916667,25,27.36666667,28.15833333,42.74166667,31.12916667,40.0375,37.2375,21.51666667,15.1875,19.525,13.82916667,28.49166667,35.84166667,30.6,16.92083333,23.67083333,24.55833333,32.77916667,36.57083333,27.89583333,38.39166667,31.00833333,35.37916667,39.16666667,21.80416667,7.141666667,32.02083333,13.19166667,28.25,25.09166667,29.24166667,23.64166667,24.52083333,26.21666667,18.525,22.685,27.33333333,8.770833333,32.4125,22.38333333,20.88571429,25.03333333
"8",16.00454545,60.27916667,22.47916667,39.75416667,29.6375,32.70416667,41.59583333,45.54583333,29.95833333,40.02916667,40.40833333,18.96521739,25.625,17.34166667,19.35416667,14.04583333,39.34583333,44.12083333,35.39583333,26.1375,67.69583333,73.725,39.625,31.96666667,26.4375,31.74166667,17.57916667,17.89166667,26.82916667,37.375,25.52083333,29.24583333,38.26666667,16.02222222,16.5125,31.325,25.2375,37.12083333,33.425,26.78695652,26.50416667,24.30416667,21.19166667,32.14583333,33.79130435,30.89166667,30.95416667,41.89583333,32.81666667,37.5,19.3375,6.483333333,25.525,15.17083333,28.77916667,22.07083333,22.24583333,36.09166667,24.44583333,19.15833333,23.09545455,19.54166667,23.25416667,8,27.90416667,18.49166667,18.02083333,20.54583333
"9",13.33333333,31.13333333,18.77916667,15.02083333,29.6875,30.01666667,28.72916667,37.30416667,29.66666667,25.34583333,38.85833333,30.9,25.7875,15.37083333,10.9125,16.5875,15.1,22.30833333,37.97916667,40.675,50.7,71.25416667,24.0375,19.37916667,26.87916667,37.43333333,21.79166667,27.5875,25.5875,18.54166667,23.3875,27.2375,24.37916667,19.03333333,25.35833333,20.5625,33.55833333,51.84583333,50.20416667,26.40833333,24.30833333,25.75,19.7125,19.21666667,15.10416667,22.6625,27.5625,17.70416667,29.39583333,22.5875,15.26666667,24.16666667,20.0625,27.55416667,21.2625,14.65,15.7625,29.26666667,12.225,18.9875,21.65,15.4625,19.62083333,8.433333333,23.89166667,13.47916667,16.91666667,19.8875
"10",13.14166667,35.89583333,30.42083333,21.6625,33.57083333,26.62083333,33.71666667,37.41666667,29.20833333,28.37083333,35.71666667,22.525,35.71666667,12.80833333,12.85416667,18.02916667,11.02083333,19.275,27.3375,45.63333333,26.50833333,47.50833333,36.74583333,24.05416667,37.85,44.31666667,16.92083333,21.60416667,16.13333333,25.52083333,21.35833333,22.275,17.05833333,15.53333333,20.40416667,20.34583333,31.2875,48.06666667,53.07916667,19.4375,31.225,13.67916667,16.6,11.7,10.23333333,22.4,24.64166667,14.3125,23.675,16.05833333,13.32916667,22.70416667,20.23333333,25.25416667,19.06666667,12.7,10.54583333,25.2125,9.879166667,16.34583333,19.3625,14.72727273,17.24583333,8.058333333,16.77083333,13.25,11.2375,13.01666667
